ID,Project,Department name,Department code,Owner,Close date,Usage Date,Wallclock,Units,Rate,Cost,Account
1376,,eddy,093203,jungs,01-31-2007,01-10-2007,60330093,16758,0.11,1843.42,51612
1377,,eddy,093203,jungs,01-31-2007,01-11-2007,17625110,4896,0.11,538.54,51612
1378,,eddy,093203,jungs,01-31-2007,01-12-2007,71354850,19821,0.11,2180.29,51612
1379,,eddy,093203,jungs,01-31-2007,01-13-2007,90419871,25117,0.11,2762.83,51612
1380,,eddy,093203,jungs,01-31-2007,01-14-2007,36539027,10150,0.11,1116.47,51612
1381,,eddy,093203,jungs,01-31-2007,01-15-2007,43630,12,0.11,1.33,51612
1382,,eddy,093203,jungs,01-31-2007,01-26-2007,31929,9,0.11,0.98,51612
1383,,eddy,093203,jungs,01-31-2007,01-27-2007,6970171,1936,0.11,212.98,51612
1384,,eddy,093203,jungs,01-31-2007,01-28-2007,13048676,3625,0.11,398.71,51612
1385,,eddy,093203,jungs,01-31-2007,01-29-2007,23599983,6556,0.11,721.11,51612
1386,,eddy,093203,jungs,01-31-2007,01-30-2007,21805473,6057,0.11,666.28,51612
1387,,eddy,093203,jungs,01-31-2007,01-31-2007,18141535,5039,0.11,554.33,51612
1388,,eddy,093203,nawrockie,01-31-2007,01-03-2007,1098,0,0.11,0.03,51612
1389,,eddy,093203,nawrockie,01-31-2007,01-04-2007,210,0,0.11,0.01,51612
1390,,eddy,093203,nawrockie,01-31-2007,01-06-2007,9117,3,0.11,0.28,51612
1391,,eddy,093203,nawrockie,01-31-2007,01-08-2007,39868,11,0.11,1.22,51612
1392,,eddy,093203,nawrockie,01-31-2007,01-10-2007,203898,57,0.11,6.23,51612
1393,,eddy,093203,nawrockie,01-31-2007,01-11-2007,8987339,2496,0.11,274.61,51612
1394,,eddy,093203,nawrockie,01-31-2007,01-12-2007,2644040,734,0.11,80.79,51612
1395,,eddy,093203,nawrockie,01-31-2007,01-15-2007,6896965,1916,0.11,210.74,51612
1396,,eddy,093203,nawrockie,01-31-2007,01-17-2007,352620,98,0.11,10.77,51612
1397,,eddy,093203,nawrockie,01-31-2007,01-18-2007,1880969,522,0.11,57.47,51612
1398,,eddy,093203,nawrockie,01-31-2007,01-19-2007,117330,33,0.11,3.58,51612
1399,,eddy,093203,nawrockie,01-31-2007,01-20-2007,327887,91,0.11,10.02,51612
1400,,eddy,093203,nawrockie,01-31-2007,01-21-2007,18922,5,0.11,0.58,51612
1401,,eddy,093203,nawrockie,01-31-2007,01-22-2007,1051725,292,0.11,32.14,51612
1402,,eddy,093203,nawrockie,01-31-2007,01-23-2007,17896282,4971,0.11,546.83,51612
1403,,eddy,093203,nawrockie,01-31-2007,01-24-2007,18739917,5206,0.11,572.61,51612
1404,,eddy,093203,nawrockie,01-31-2007,01-25-2007,47443480,13179,0.11,1449.66,51612
1405,,eddy,093203,nawrockie,01-31-2007,01-26-2007,203220,56,0.11,6.21,51612
1406,,eddy,093203,nawrockie,01-31-2007,01-27-2007,16281610,4523,0.11,497.49,51612
1407,,eddy,093203,nawrockie,01-31-2007,01-28-2007,19642654,5456,0.11,600.19,51612
1408,,eddy,093203,nawrockie,01-31-2007,01-29-2007,15788136,4386,0.11,482.41,51612
1409,,eddy,093203,nawrockie,01-31-2007,01-30-2007,251042,70,0.11,7.67,51612
1410,,summers,076100,cheny,02-28-2007,02-22-2007,2,0,0.11,0.00,51612
1411,,summers,076100,cheny,02-28-2007,02-26-2007,25,0,0.11,0.00,51612
1412,,summers,076100,cheny,02-28-2007,02-27-2007,178,0,0.11,0.01,51612
1413,,summers,076100,cheny,02-28-2007,02-28-2007,752,0,0.11,0.02,51612
1414,,summers,076100,summersm,02-28-2007,02-22-2007,0,0,0.11,0.00,51612
1415,,summers,076100,summersm,02-28-2007,02-28-2007,2234,1,0.11,0.07,51612
1421,,myers,093201,pengh,02-28-2007,02-02-2007,5,0,0.11,0.00,51612
1422,,myers,093201,pengh,02-28-2007,02-14-2007,25,0,0.11,0.00,51612
1423,,myers,093201,pengh,02-28-2007,02-16-2007,2459783,683,0.11,75.16,51612
1424,,myers,093201,swidanf,02-28-2007,02-06-2007,366,0,0.11,0.01,51612
1425,,eddy,093203,coventrya,02-28-2007,02-06-2007,913473,254,0.11,27.91,51612
1426,,eddy,093203,coventrya,02-28-2007,02-07-2007,570913,159,0.11,17.44,51612
1427,,eddy,093203,coventrya,02-28-2007,02-08-2007,241078,67,0.11,7.37,51612
1428,,eddy,093203,coventrya,02-28-2007,02-10-2007,63137420,17538,0.11,1929.20,51612
1429,,eddy,093203,coventrya,02-28-2007,02-16-2007,506824,141,0.11,15.49,51612
1430,,eddy,093203,coventrya,02-28-2007,02-26-2007,5708006,1586,0.11,174.41,51612
1431,,eddy,093203,coventrya,02-28-2007,02-27-2007,17139297,4761,0.11,523.70,51612
1432,,eddy,093203,coventrya,02-28-2007,02-28-2007,17175763,4771,0.11,524.82,51612
1433,,eddy,093203,eddys,02-28-2007,02-02-2007,6928,2,0.11,0.21,51612
1434,,eddy,093203,eddys,02-28-2007,02-17-2007,92791,26,0.11,2.84,51612
1435,,eddy,093203,eddys,02-28-2007,02-18-2007,194464,54,0.11,5.94,51612
1436,,eddy,093203,eddys,02-28-2007,02-19-2007,105836,29,0.11,3.23,51612
1437,,eddy,093203,eddys,02-28-2007,02-20-2007,143766,40,0.11,4.39,51612
1438,,eddy,093203,eddys,02-28-2007,02-26-2007,49203,14,0.11,1.50,51612
1439,,eddy,093203,jonest,02-28-2007,02-23-2007,45,0,0.11,0.00,51612
1440,,eddy,093203,jonest,02-28-2007,02-24-2007,9,0,0.11,0.00,51612
1441,,eddy,093203,jonest,02-28-2007,02-25-2007,37383,10,0.11,1.14,51612
