ID,Project,Department name,Department code,Close date,Subject,Units,Rate,Cost,Account
345,,truman,093212,10-01-2008,Servers,1.0,50,50.00,51615
346,,baker,093215,11-01-2008,Primary storage (TB),1.0,624,624.00,51610
347,,baker,093215,11-01-2008,Servers,1.0,50,50.00,51615
348,,betzig,093202,11-01-2008,Primary storage (TB),4.0,624,2496.00,51610
349,,betzig,093202,11-01-2008,Secondary storage (TB),1.0,180,180.00,51610
350,,chklovskii,093208,11-01-2008,Primary storage (TB),1.5,624,936.00,51610
351,,chklovskii,093208,11-01-2008,Secondary storage (TB),3.0,180,540.00,51610
352,,chklovskii,093208,11-01-2008,Servers,2.0,50,100.00,51615
353,,egnor,093308,11-01-2008,Primary storage (TB),4.0,624,2496.00,51610
354,,eddy,093203,11-01-2008,Direct Attached storage (TB),1.6,1850,2960.00,51610
355,,eddy,093203,11-01-2008,Primary storage (TB),1.5,624,936.00,51610
356,,eddy,093203,11-01-2008,Secondary storage (TB),2.6,180,468.00,51610
357,,eddy,093203,11-01-2008,Servers,19.0,50,950.00,51615
358,,eddy,093203,11-01-2008,System Engineer Time,8.0,80,640.00,51610
359,,elmicro,093093,11-01-2008,Secondary storage (TB),8.0,180,1440.00,51610
360,,elmicro,093093,11-01-2008,Servers,1.0,50,50.00,51615
361,,elmicro,093093,11-01-2008,System Engineer Time,2.0,80,160.00,51610
362,,gustafsson,093216,11-01-2008,Primary storage (TB),1.0,624,624.00,51610
363,,harris,093298,11-01-2008,Primary storage (TB),4.0,624,2496.00,51610
364,,harris,093298,11-01-2008,Secondary storage (TB),5.0,180,900.00,51610
365,,harris,093298,11-01-2008,Servers,1.0,50,50.00,51615
366,,imaging,093095,11-01-2008,Primary storage (TB),4.0,624,2496.00,51610
367,,imaging,093095,11-01-2008,System Engineer Time,2.0,80,160.00,51610
368,,instrdesapp,093097,11-01-2008,Secondary storage (TB),4.0,180,720.00,51610
369,,jayaraman,093305,11-01-2008,Primary storage (TB),3.0,624,1872.00,51610
370,,karpova,093211,11-01-2008,Primary storage (TB),4.0,624,2496.00,51610
371,,leonardo,093213,11-01-2008,Primary storage (TB),1.0,624,624.00,51610
372,,looger,093209,11-01-2008,Primary storage (TB),0.5,624,312.00,51610
373,,looger,093209,11-01-2008,Servers,1.0,50,50.00,51615
374,,myers,093201,11-01-2008,Primary storage (TB),1.0,624,624.00,51610
375,,myers,093201,11-01-2008,Servers,1.0,50,50.00,51615
376,,peng,093309,11-01-2008,Primary storage (TB),4.0,624,2496.00,51610
377,,peng,093309,11-01-2008,Secondary storage (TB),2.0,180,360.00,51610
378,,peng,093309,11-01-2008,Servers,1.0,50,50.00,51615
379,,peng,093309,11-01-2008,System Engineer Time,2.0,80,160.00,51610
380,,reiser,093303,11-01-2008,Primary storage (TB),6.0,624,3744.00,51610
381,JVS001201,visscien,093400,11-01-2008,Primary storage (TB),0.5,624,312.00,51610
382,,rubin,093205,11-01-2008,Primary storage (TB),4.0,624,2496.00,51610
383,,rubin,093205,11-01-2008,Secondary storage (TB),15.5,180,2790.00,51610
